"正面（问题）","背面（答案）"
"মানবদেহের রোগ প্রতিরোধ ক্ষমতা বা সিস্টেমকে এক কথায় কী বলা হয়?","ইমিউনিটি (Immunity) বা প্রতিরক্ষা।"
"জীববিজ্ঞানের যে শাখায় মানবদেহের প্রতিরক্ষা ব্যবস্থা নিয়ে আলোচনা করা হয় তাকে কী বলে?","ইমিউনোলজি (Immunology)।"
"মানবদেহের প্রতিরক্ষা ব্যবস্থার প্রধান কয়টি স্তর রয়েছে?","$৩$টি (প্রথম, দ্বিতীয় ও তৃতীয় স্তর)।"
"দেহের 'প্রথম প্রতিরক্ষা স্তর' কী ধরণের প্রতিরক্ষা ব্যবস্থা হিসেবে পরিচিত?","নন-স্পেসিফিক বা অবিশেষিক প্রতিরক্ষা ব্যবস্থা।"
"মানুষের শরীরের সবচেয়ে বড় অঙ্গ কোনটি যা প্রথম প্রতিরক্ষা স্তর হিসেবে কাজ করে?","ত্বক (Skin)।"
"ত্বকের উপরিভাগের $pH$ মান সাধারণত কত থাকে যা জীবাণু নাশক হিসেবে কাজ করে?","$pH$ মান $৩.০$ থেকে $৫.০$ এর মধ্যে থাকে।"
"লালা ও অশ্রুতে বিদ্যমান কোন এনজাইম ব্যাকটেরিয়ার কোষপ্রাচীর ধ্বংস করতে পারে?","লাইসোজাইম (Lysozyme) এনজাইম।"
"পাকস্থলীর প্রাচীর থেকে নিঃসৃত কোন এসিড খাদ্যের সাথে আসা জীবাণু ধ্বংস করে?","$HCl$ (হাইড্রোক্লোরিক এসিড)।"
"শ্বাসনালীতে ধূলিকণা ও জীবাণু আটকে রাখার জন্য ব্যবহৃত সূক্ষ্ম রোম সদৃশ অঙ্গাণু কোনটি?","সিলিয়া (Cilia)।"
"কানের বহিকর্ণে উৎপন্ন কোন মোমজাতীয় পদার্থ রোগজীবাণুকে আটকে ফেলে?","সেরুমেন (Cerumen)।"
"কোন প্রক্রিয়ায় শ্বেত রক্তকণিকা সরাসরি অণুজীবকে ভক্ষণ করে ধ্বংস করে ফেলে?","ফ্যাগোসাইটোসিস (Phagocytosis)।"
"$১৮৮৪$ সালে কোন বিজ্ঞানী প্রথম ফ্যাগোসাইটোসিস প্রক্রিয়া আবিষ্কার করেন?","রুশ বিজ্ঞানী ইলিয়া মেচনিকফ (Ilya Mechnikov)।"
"রাসায়নিক সংকেতের প্রতি সাড়া দিয়ে ফ্যাগোসাইট কোষের রোগজীবাণুর দিকে অগ্রসর হওয়াকে কী বলে?","কেমোট্যাক্সিস (Chemotaxis)।"
"মানবদেহের দ্বিতীয় প্রতিরক্ষা স্তরের একটি প্রধান উপাদানের নাম লেখ যা রক্তকণিকা দ্বারা গঠিত।","ফ্যাগোসাইট (যেমন- ম্যাক্রোফেজ ও নিউট্রোফিল)।"
"ভাইরাস আক্রান্ত কোষ থেকে নিঃসৃত হয় এমন এক ধরণের ক্ষুদ্র গ্লাইকোপ্রোটিন কোনটি?","ইন্টারফেরন (Interferon)।"
"দেহে অণুজীবের আক্রমণের ফলে সৃষ্ট প্রদাহের (Inflammation) একটি প্রধান লক্ষণ কী?","ক্ষতস্থান লাল হওয়া, ফুলে যাওয়া ও তাপমাত্রা বৃদ্ধি।"
"শরীরে জ্বর সৃষ্টির জন্য দায়ী বিশেষ রাসায়নিক পদার্থের নাম কী?","পাইরোজেন (Pyrogen)।"
"কমপ্লিমেন্ট সিস্টেম (Complement System) কত ধরণের প্লাজমা প্রোটিন নিয়ে গঠিত?","প্রায় $২০$ ধরণের প্লাজমা প্রোটিন।"
"যকৃতে অবস্থিত বিশেষ ধরণের ম্যাক্রোফেজ কোষকে কী বলা হয়?","কুফার কোষ (Kupffer Cell)।"
"ফুসফুসে অবস্থিত ম্যাক্রোফেজ কোষগুলো কী নামে পরিচিত?","অ্যালভিওলার ম্যাক্রোফেজ।"
"মনোসাইট রক্ত থেকে টিস্যুতে প্রবেশ করে আকারে বড় হলে তাকে কী বলে?","ম্যাক্রোফেজ।"
"দেহে বহিরাগত কোনো বস্তু বা অণুজীব প্রবেশ করলে তার বিরুদ্ধে যে প্রোটিন উৎপন্ন হয় তাকে কী বলে?","অ্যান্টিবডি (Antibody)।"
"অ্যান্টিবডি উৎপাদনকারী প্রধান কোষ কোনটি?","$B$-লিম্ফোসাইট (বি-কোষ)।"
"অ্যান্টিজেনের যে নির্দিষ্ট অংশের সাথে অ্যান্টিবডি যুক্ত হয় তাকে কী বলে?","এপিটোপ (Epitope)।"
"অ্যান্টিবডির যে অংশটি অ্যান্টিজেনের এপিটোপের সাথে যুক্ত হয় তাকে কী বলে?","প্যারাটোপ (Paratope)।"
"একটি অ্যান্টিবডি অণুর গাঠনিক আকৃতি ইংরেজি কোন অক্ষরের মতো?","ইংরেজি '$Y$' অক্ষরের মতো।"
"একটি অ্যান্টিবডিতে কয়টি ভারী (Heavy) এবং কয়টি হালকা (Light) পলিপেপটাইড শৃঙ্খল থাকে?","$২$টি ভারী শৃঙ্খল এবং $২$টি হালকা শৃঙ্খল।"
"অ্যান্টিবডির শৃঙ্খলগুলো একে অপরের সাথে কোন ধরণের রাসায়নিক বন্ধনী দ্বারা যুক্ত থাকে?","ডাই-সালফাইড বন্ধনী ($-S-S-$ bond)।"
"মানবদেহে কয় ধরণের ইমিউনোগ্লোবিউলিন (অ্যান্টিবডি) পাওয়া যায়?","$৫$ ধরণের ($IgG, IgA, IgM, IgE, IgD$)।"
"রক্তের সিরামে কোন ধরণের অ্যান্টিবডির পরিমাণ সবচেয়ে বেশি (প্রায় $৭৫\%$)?","$IgG$।"
"কোন ধরণের অ্যান্টিবডি অমরা বা প্লাসেন্টা অতিক্রম করে মাতৃদেহ থেকে ভ্রূণে প্রবেশ করতে পারে?","$IgG$।"
"মায়ের বুকের দুধে বা শালদুধে (Colostrum) কোন ধরণের অ্যান্টিবডি প্রচুর পরিমাণে থাকে?","$IgA$।"
"শরীরে অ্যালার্জি প্রতিক্রিয়ার সময় কোন অ্যান্টিবডির মাত্রা বেড়ে যায়?","$IgE$।"
"অণুজীব আক্রমণের পর রক্তে সবার প্রথম কোন অ্যান্টিবডিটি উৎপন্ন হয়?","$IgM$।"
"অ্যান্টিবডি অণুর শৃঙ্খলগুলোর যে অংশটি স্থির থাকে তাকে কী বলে?","স্থায়ী অঞ্চল বা Constant Region।"
"অ্যান্টিবডি অণুর যে অংশটি বিভিন্ন অ্যান্টিজেনের প্রকৃতির উপর ভিত্তি করে পরিবর্তিত হয় তাকে কী বলে?","পরিবর্তনশীল অঞ্চল বা Variable Region।"
"যে প্রতিরক্ষা ব্যবস্থা জন্মের সময় থেকেই বংশগতভাবে অর্জিত হয় তাকে কী বলে?","সহজাত প্রতিরক্ষা (Innate Immunity)।"
"কোনো নির্দিষ্ট রোগজীবাণুর বিরুদ্ধে যে প্রতিরক্ষা ব্যবস্থা জীবনকালে গড়ে ওঠে তাকে কী বলে?","অর্জিত প্রতিরক্ষা (Acquired Immunity)।"
"ভ্যাকসিন বা টিকার মাধ্যমে যে ইমিউনিটি অর্জন করা হয় তা কোন ধরণের?","কৃত্রিম সক্রিয় অর্জিত প্রতিরক্ষা।"
"অসুস্থ ব্যক্তির রক্ত থেকে সিরাম সংগ্রহ করে অন্য দেহে প্রবেশ করালে তাকে কী ধরণের প্রতিরক্ষা বলে?","কৃত্রিম নিষ্ক্রিয় অর্জিত প্রতিরক্ষা।"
"স্মৃতি কোষ বা মেমোরি কোষের (Memory Cell) প্রধান কাজ কী?","একই জীবাণু পুনরায় আক্রমণ করলে দ্রুত ও শক্তিশালী সাড়া প্রদান করা।"
"অ্যান্টিবডি ও অ্যান্টিজেনের বিক্রিয়ার ফলে অণুজীবগুলো দলবদ্ধ হওয়ার প্রক্রিয়াকে কী বলে?","অ্যা گلوটিনেশন (Agglutination)।"
"ওপসোনাইজেশন (Opsonization) বলতে কী বোঝায়?","জীবাণুর গায়ে প্রোটিন আবরণ তৈরির মাধ্যমে তাকে ফ্যাগোসাইটের কাছে সহজলভ্য করার প্রক্রিয়া।"
"যক্ষ্মা প্রতিরোধে কোন টিকা ব্যবহার করা হয়?","$BCG$ টিকা।"
"$BCG$ এর পূর্ণরূপ কী?","Bacillus Calmette Guerin।"
"টিকা বা ভ্যাকসিনের উদ্ভাবক হিসেবে কাকে গণ্য করা হয় এবং কত সালে?","এডওয়ার্ড জেনার, $১৭৯৬$ সালে।"
"কোন কোষটি প্রধানত ভাইরাস আক্রান্ত কোষ বা টিউমার কোষকে ধ্বংস করতে পারে?","$NK$ কোষ (Natural Killer Cell)।"
"রক্তের বেসোফিল কোষ থেকে নিঃসৃত কোন পদার্থ রক্তনালীর প্রসারণ ঘটায় এবং প্রদাহ সৃষ্টি করে?","হিস্টামিন (Histamine)।"
"মানুষের লালাগ্রন্থি থেকে নিঃসৃত কোন এনজাইম ব্যাকটেরিয়া নাশক হিসেবে কাজ করে?","লাইসোজাইম।"
"ফ্যাগোসাইটিক ভ্যাসিকল এবং লাইসোজোম একত্রিত হয়ে যে গহ্বর তৈরি করে তাকে কী বলে?","ফ্যাগোলাইসোজোম।"
"ম্যাক্রোফেজ সাধারণত কতদিন পর্যন্ত টিস্যুতে জীবিত থাকতে পারে?","কয়েক মাস থেকে কয়েক বছর।"
"নিউট্রোফিল সাধারণত কতদিন রক্ত প্রবাহে অবস্থান করে?","$২$ থেকে $৫$ দিন।"
"অ্যান্টিবডি অণুর কব্জা অঞ্চল বা Hinge Region এর কাজ কী?","অ্যান্টিবডি বাহুদ্বয়কে নমনীয়তা দান করা যাতে অ্যান্টিজেনের সাথে সহজে যুক্ত হতে পারে।"
"কোন ধরণের ইমিউনোগ্লোবিউলিন সবচেয়ে বড় আকারের এবং পাঁচটি ইউনিটের সমন্বয়ে গঠিত (Pentamer)?","$IgM$।"
"রক্তের প্লাজমা থেকে ফাইব্রিনোজেন পৃথক করলে যে হালকা হলুদ রঙের তরল অবশিষ্ট থাকে তাকে কী বলে?","সিরাম (Serum)।"
"একটি অ্যান্টিবডিতে কয়টি অ্যান্টিজেন বাইন্ডিং সাইট থাকে?","$২$টি।"
"নিচের কোন কোষটি অদানাদার শ্বেত রক্তকণিকা থেকে সৃষ্টি হয় এবং প্রতিরক্ষায় অংশ নেয়?","মনোসাইট ও লিম্ফোসাইট।"
"অ্যান্টিবডি অণুর প্রতিটি হালকা শৃঙ্খলে অ্যামিনো এসিডের সংখ্যা প্রায় কত?","প্রায় $২২০$টি।"
"অ্যান্টিবডি অণুর প্রতিটি ভারী শৃঙ্খলে অ্যামিনো এসিডের সংখ্যা কত হতে পারে?","$৪৪০$ থেকে $৫৫০$টি।"
"শরীরের ক্ষতস্থানে পুঁজ (Pus) জমার প্রধান কারণ কী?","মৃত ব্যাকটেরিয়া এবং শ্বেত রক্তকণিকা (বিশেষ করে নিউট্রোফিল) জমা হওয়া।"
"অ্যান্টিজেনের বিপরীতে শরীরে ইমিউন সাড়া প্রদানের ক্ষমতাকে কী বলে?","ইমিউনোজেনেসিটি (Immunogenicity)।"
"মানুষের পাকস্থলীর প্যারাইটাল কোষ থেকে নিঃসৃত হয় কোনটি?","$HCl$।"
"সিলিয়া কোন ধরণের প্রতিরক্ষা স্তরের অন্তর্ভুক্ত?","প্রথম প্রতিরক্ষা স্তর।"
"জ্বর হলে শরীরের তাপমাত্রা বৃদ্ধির প্রধান সুবিধা কী?","অণুজীবের বংশবৃদ্ধি ব্যাহত করা এবং প্রতিরক্ষা কোষের কার্যকারিতা বাড়ানো।"
"কোন ধরণের শ্বেত রক্তকণিকা হেপারিন ও হিস্টামিন নিঃসরণ করে?","বেসোফিল।"
"অ্যান্টিবডি মূলত কী ধরণের রাসায়নিক পদার্থ?","গ্লাইকোপ্রোটিন (Glycoprotein)।"
"একটি অ্যান্টিবডিতে হালকা ও ভারী শৃঙ্খলের অনুপাত কত?","$১ : ১$ (প্রতিটি হালকা শৃঙ্খলের বিপরীতে একটি ভারী শৃঙ্খল)।"
"কোন বিজ্ঞানী প্রথম 'অ্যান্টিবডি' শব্দটি ব্যবহার করেন?","জার্মান বিজ্ঞানী পল এরলিখ (Paul Ehrlich)।"
"অ্যান্টিজেনের গঠনগত একককে কী বলা হয়?","অ্যান্টিজেনিক ডিটারমিনেন্ট বা এপিটোপ।"
"অ্যান্টিবডি অণুর হালকা শৃঙ্খলে কয়টি ডোমেইন থাকে?","$২$টি (একটি স্থায়ী ও একটি পরিবর্তনশীল)।"
"দেহের স্বাভাবিক অণুজীব বা মাইক্রোবায়োটা কীভাবে সুরক্ষা দেয়?","ক্ষতিকর ব্যাকটেরিয়ার সাথে পুষ্টি ও স্থানের প্রতিযোগিতা করে তাদের বংশবৃদ্ধি রোধ করে।"
"মনোসাইট ও ম্যাক্রোফেজ এর মধ্যে প্রধান পার্থক্য কী?","মনোসাইট রক্তে থাকে, আর ম্যাক্রোফেজ টিস্যুতে অবস্থান করে।"
"অর্জিত প্রতিরক্ষা ব্যবস্থা মূলত কয় ধরণের সাড়া প্রদান করে?","$২$ ধরণের (প্রাথমিক ও গৌণ বা মেমোরি ভিত্তিক সাড়া)।"
"স্মলপক্স বা গুটিবসন্তের টিকা কে আবিষ্কার করেন?","এডওয়ার্ড জেনার।"
"অ্যান্টিবডির মূল কাঠামোটি কয়টি পলিপেপটাইড শৃঙ্খল নিয়ে গঠিত?","$৪$টি শৃঙ্খল।"
